kind,kindKey,state,side,extremity,horizon,medianDeviationRate,medianDeviationAtr,medianPositionPct,occurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,continuationDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,avgAtrChangePct,medianAtrChangePct,avgDistanceChangeAtr,medianDistanceChangeAtr,avgReturnPct,medianReturnPct,upRatePct,avgMaxUpPct,avgMaxDownPct,lastSeen
233MA,ma233,233MA下侧极端,-1,extreme,1,-24.3902,-8.1043,43.04,945,40.11,59.89,0.11,50.05,49.95,39.79,60.21,4.76,0.63,0.1048,-1.1848,-0.0193,0.1228,-0.0109,0.0127,50.05,2.2076,-2.3186,2026-05-28
233MA,ma233,233MA下侧偏离,-1,deviation,1,-5.0847,-1.2666,60.67,225,48.44,51.56,6.67,55.56,44.44,44.44,55.56,4.44,0.44,0.1033,-0.905,0.0251,0.0183,0.2643,0.164,55.56,2.5253,-2.3274,2025-11-12
233MA,ma233,233MA贴近中轴,0,near,1,0.4307,0.0952,64.22,118,25.42,74.58,32.2,45.76,54.24,44.07,55.93,8.47,0.85,0.6038,-0.8154,0.2871,0.1758,0.3654,0.3868,56.78,2.7591,-2.3666,2025-11-02
233MA,ma233,233MA上侧极端,1,extreme,1,31.3616,6.1265,82.37,1351,41.3,58.7,0.07,46.34,53.66,42.12,57.88,4.59,0.37,0.176,-0.7688,-0.0193,0.1198,0.2277,0.1632,53.66,2.2309,-2.2443,2025-10-12
233MA,ma233,233MA上侧偏离,1,deviation,1,5.8478,1.2719,67.75,281,48.75,51.25,5.34,51.6,48.4,42.7,57.3,3.56,0.71,-0.2443,-0.7164,0.0186,0.0077,-0.0925,-0.0477,48.4,2.1524,-2.3666,2025-11-01
233MA,ma233,233MA下侧极端,-1,extreme,3,-24.422,-8.1083,42.8,943,42.74,57.26,0.53,49.95,50.05,34.78,65.22,11.45,10.92,0.2032,-3.1021,-0.0576,0.1991,-0.0237,-0.0123,49.95,3.9925,-4.1688,2026-05-26
233MA,ma233,233MA下侧偏离,-1,deviation,3,-5.0847,-1.2666,60.67,225,45.78,54.22,19.56,56,44,39.56,60.44,10.22,11.11,-0.0998,-1.8445,0.1162,0.0605,0.9314,0.5484,56,5.0036,-3.8887,2025-11-12
233MA,ma233,233MA贴近中轴,0,near,3,0.4307,0.0952,64.22,118,15.25,84.75,35.59,46.61,53.39,33.05,66.95,14.41,11.02,-0.1685,-2.7328,0.6819,0.4711,0.5607,0.4759,54.24,4.6107,-4.2005,2025-11-02
233MA,ma233,233MA上侧极端,1,extreme,3,31.3616,6.1265,82.37,1351,45.97,54.03,0.3,46.63,53.37,42.12,57.88,13.84,7.25,0.9809,-1.5933,-0.0631,0.1135,0.6519,0.2832,53.37,4.1679,-3.8395,2025-10-12
233MA,ma233,233MA上侧偏离,1,deviation,3,5.8478,1.2719,67.75,281,48.4,51.6,12.46,50.89,49.11,38.43,61.57,12.46,8.54,0.1024,-2.393,0.125,0.0667,-0.0262,-0.0647,49.11,3.785,-4.254,2025-11-01
233MA,ma233,233MA下侧极端,-1,extreme,5,-24.4447,-8.1251,42.71,941,43.89,56.11,0.96,51.01,48.99,33.58,66.42,14.56,27.21,0.2727,-4.898,-0.1032,0.1937,0.0305,0.0753,51.01,5.2461,-5.3755,2026-05-24
233MA,ma233,233MA下侧偏离,-1,deviation,5,-5.0847,-1.2666,60.67,225,43.56,56.44,26.67,55.11,44.89,38.22,61.78,12.89,19.56,0.3504,-2.6273,0.296,0.195,1.019,0.6882,55.11,6.5091,-5.2443,2025-11-12
233MA,ma233,233MA贴近中轴,0,near,5,0.4307,0.0952,64.22,118,15.25,84.75,44.92,50,50,30.51,69.49,18.64,24.58,-0.766,-4.6925,0.7779,0.4813,0.9767,0.6653,57.63,6.0954,-5.2507,2025-11-02
233MA,ma233,233MA上侧极端,1,extreme,5,31.3616,6.1265,82.37,1351,49.15,50.85,0.59,47.52,52.48,44.71,55.29,20.13,16.58,1.8209,-1.3144,-0.1048,0.0317,1.0825,0.3651,52.48,5.622,-4.9326,2025-10-12
233MA,ma233,233MA上侧偏离,1,deviation,5,5.8478,1.2719,67.75,281,43.42,56.58,18.51,48.75,51.25,36.3,63.7,16.73,18.51,0.3023,-2.7715,0.2885,0.1273,0.1948,0.1083,51.25,5.0481,-5.4285,2025-11-01
233MA,ma233,233MA下侧极端,-1,extreme,10,-24.4603,-8.1725,42.45,936,46.47,53.53,2.46,52.99,47.01,31.94,68.06,18.59,46.58,0.4701,-8.4146,-0.2083,0.1394,0.3025,0.5497,52.99,7.7712,-7.42,2026-05-19
233MA,ma233,233MA下侧偏离,-1,deviation,10,-5.0847,-1.2666,60.67,225,35.11,64.89,34.22,53.33,46.67,41.78,58.22,20,32.44,2.7798,-2.3831,0.7815,0.6023,1.1961,1.4456,53.33,9.0746,-8.2192,2025-11-12
233MA,ma233,233MA贴近中轴,0,near,10,0.4307,0.0952,64.22,118,9.32,90.68,60.17,61.02,38.98,35.59,64.41,19.49,44.07,0.1425,-7.439,1.3092,0.9752,1.953,2.3285,60.17,9.2854,-7.9085,2025-11-02
233MA,ma233,233MA上侧极端,1,extreme,10,31.3616,6.1265,82.37,1351,50.26,49.74,1.41,45.23,54.77,48.63,51.37,28.94,28.72,3.9974,-0.6196,-0.2036,-0.0076,2.2038,0.8103,54.77,8.6012,-6.7183,2025-10-12
233MA,ma233,233MA上侧偏离,1,deviation,10,5.8478,1.2719,67.75,281,43.06,56.94,26.33,51.96,48.04,42.7,57.3,29.89,38.08,1.0498,-4.8774,0.4748,0.1845,0.41,-0.7043,48.04,7.3413,-7.5279,2025-11-01
中值,middle,中值下侧极端,-1,extreme,1,-11.6689,-2.7393,23.67,112,58.04,41.96,0.89,48.21,51.79,61.61,38.39,16.07,0.89,3.3118,1.4967,-0.2032,-0.077,-0.643,-0.092,48.21,2.5768,-3.8171,2026-02-04
中值,middle,中值下侧偏离,-1,deviation,1,-4.5953,-1.1533,42.05,1000,53.7,46.3,6,52.6,47.4,43.7,56.3,5.2,0.3,0.566,-0.8087,-0.0395,-0.0382,0.0763,0.1448,52.6,2.2766,-2.4067,2026-05-28
中值,middle,中值贴近中轴,0,near,1,-0.0035,-0.0009,54.17,464,22.2,77.8,39.01,50.65,49.35,38.36,61.64,2.37,0.65,-0.5791,-1.1168,0.2878,0.215,0.0417,0.0371,50.86,1.9305,-2.1371,2026-05-15
中值,middle,中值上侧极端,1,extreme,1,12.4538,2.9666,84.74,272,56.62,43.38,0.74,45.22,54.78,43.01,56.99,7.35,0.74,0.3412,-0.8671,-0.2094,-0.0807,0.4113,0.2196,54.78,2.7288,-2.4395,2026-04-21
中值,middle,中值上侧偏离,1,deviation,1,5.012,1.2632,66.97,1072,48.41,51.59,6.06,47.67,52.33,38.81,61.19,3.36,0.56,-0.3716,-1.0154,-0.0117,0.0158,0.2224,0.0915,52.33,2.2346,-2.0537,2026-05-13
中值,middle,中值下侧极端,-1,extreme,3,-11.6689,-2.7393,23.67,112,67.86,32.14,8.04,48.21,51.79,51.79,48.21,29.46,10.71,7.2245,0.7109,-0.5544,-0.3879,-0.9599,-0.2445,48.21,4.4002,-6.9448,2026-02-04
中值,middle,中值下侧偏离,-1,deviation,3,-4.593,-1.1482,42.06,998,52.81,47.19,16.83,52,48,34.07,65.93,12.53,10.42,0.0609,-3.0735,-0.0523,-0.0435,0.1498,0.1695,52,4.0814,-4.2379,2026-05-26
中值,middle,中值贴近中轴,0,near,3,-0.0035,-0.0009,54.17,464,12.93,87.07,41.81,46.77,53.23,35.13,64.87,8.84,10.78,-1.1132,-3.1182,0.6246,0.5176,0.4644,0.0634,50.86,3.7319,-3.7277,2026-05-15
中值,middle,中值上侧极端,1,extreme,3,12.4538,2.9666,84.74,272,66.54,33.46,1.47,43.75,56.25,56.99,43.01,21.32,4.78,3.8393,2.0088,-0.5759,-0.4202,0.9952,0.5549,56.25,4.8371,-4.1285,2026-04-21
中值,middle,中值上侧偏离,1,deviation,3,5.012,1.2632,66.97,1072,50,50,16.79,47.95,52.05,38.9,61.1,10.54,7.84,0.0984,-2.1917,-0.013,-0.0007,0.5583,0.1492,52.05,4.2125,-3.5677,2026-05-13
中值,middle,中值下侧极端,-1,extreme,5,-11.6689,-2.7393,23.67,112,78.57,21.43,16.07,52.68,47.32,46.43,53.57,30.36,29.46,7.3541,-2.1532,-0.7932,-0.7694,-0.9986,0.1872,52.68,5.4035,-8.2749,2026-02-04
中值,middle,中值下侧偏离,-1,deviation,5,-4.5953,-1.1482,42.06,996,52.11,47.89,24.2,52.31,47.69,33.53,66.47,15.86,27.21,-0.0168,-4.5991,-0.033,-0.046,0.225,0.218,52.31,5.2957,-5.5235,2026-05-24
中值,middle,中值贴近中轴,0,near,5,-0.0035,-0.0009,54.17,464,12.72,87.28,42.24,47.41,52.59,30.39,69.61,10.78,24.35,-1.8282,-4.1716,0.7736,0.6611,0.7566,0.0505,50.65,5.2207,-4.7281,2026-05-15
中值,middle,中值上侧极端,1,extreme,5,12.4538,2.9666,84.74,272,78.31,21.69,5.15,42.65,57.35,63.6,36.4,32.72,6.62,7.1334,3.8995,-0.9062,-0.7732,1.5036,0.6889,57.35,6.3725,-5.1729,2026-04-21
中值,middle,中值上侧偏离,1,deviation,5,5.012,1.2632,66.97,1072,50,50,23.69,48.32,51.68,41.42,58.58,16.42,15.86,0.8313,-2.1231,0.0149,-0.0012,0.9498,0.1914,51.68,5.6892,-4.6812,2026-05-13
中值,middle,中值下侧极端,-1,extreme,10,-11.6689,-2.7393,23.67,112,84.82,15.18,26.79,53.57,46.43,40.18,59.82,25,42.86,1.9589,-5.2058,-1.2547,-1.3473,-0.6944,0.4839,53.57,7.435,-9.7454,2026-02-04
中值,middle,中值下侧偏离,-1,deviation,10,-4.6216,-1.1514,42.06,991,53.68,46.32,38.85,52.98,47.02,33,67,19.58,48.84,-0.3484,-9.561,-0.0254,-0.0815,0.7082,0.5712,52.98,7.7661,-7.7079,2026-05-19
中值,middle,中值贴近中轴,0,near,10,-0.0035,-0.0009,54.17,464,8.62,91.38,48.71,50.43,49.57,35.99,64.01,20.04,40.73,-0.344,-6.758,1.0076,0.9037,1.1188,0.0565,50.65,8.12,-6.9616,2026-05-15
中值,middle,中值上侧极端,1,extreme,10,12.4538,2.9666,84.74,272,85.66,14.34,16.18,38.24,61.76,64.34,35.66,45.59,11.4,11.8305,7.5294,-1.3417,-1.416,2.9459,1.8498,61.76,9.2928,-6.472,2026-04-21
中值,middle,中值上侧偏离,1,deviation,10,5.012,1.2632,66.97,1072,49.63,50.37,36.38,46.46,53.54,46.46,53.54,25.93,28.36,3.5872,-1.6383,0.0667,0.0278,1.8011,0.743,53.54,8.6476,-6.7153,2026-05-13
