instrument,bar,dataStatus,historyQuality,periodWeight,requiredWarmupBars,source,firstDate,lastDate,cleanRows,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3Pct,atr8Pct,atr13Pct,atr21Pct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middlePositionPct,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maPositionPct,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationWeather,deviationRiskNote,score_wait,score_grid,score_meanReversion,score_breakout,score_trend
LDO-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.33,黄偏红,防守等待,74.12,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.0975,9.81,0.705,32.24,-0.295,余动能不足,57.17,42.83,34.44,1.5454,1.9018,2.0758,2.2022,0.7017,0.8636,中值贴近中轴,-0.1674,-0.0808,44.82,7.46,233MA下侧极端,-11.4221,-6.2122,49.03,50,趋势不明,-0.7683,mixed,2,缩量,0.5045,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,74.12,74,0,8,0
CRV-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.21,黄偏红,防守等待,74.12,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.8477,7.66,0.4028,3.01,-0.5972,余动能不足,55.6,44.4,35.26,1.0681,1.5688,1.814,2.02,0.5288,0.7766,中值贴近中轴,0.2567,0.1385,49.59,7.75,233MA下侧极端,-9.5257,-5.6931,45.1,48.76,趋势不明,-0.6694,mixed,2,缩量,0.5374,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,74.12,74,0,8,0
ENS-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,6,黄,防守等待,74.12,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,等待更清楚的波动或位置共振,波动压缩,2.1665,26.05,0.7182,34.12,-0.2818,余动能不足,57.13,42.87,34.72,1.6615,2.0672,2.1581,2.2035,0.754,0.9381,中值上侧偏离,1.1547,0.529,53.64,54.33,233MA下侧极端,-5.6272,-2.7633,56.4,49.84,趋势不明,0.4785,mixed,2,放量,27.5975,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,74.12,74,45.59,20,0
PENDLE-USDT,4H,ok,full_weight,1,233,OKX,2024-09-27 04:00,2026-05-31 00:00,3666,2026-05-31 00:00,1.37,绿,趋势策略天气,78,常态波动 / 接近正常动能 / 短期下侧偏离 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,常态波动,3.7453,69.08,0.994,60.62,-0.006,接近正常动能,58.49,41.51,37.87,3.0902,3.3999,3.7,3.9846,0.7755,0.8533,中值下侧偏离,-8.4031,-2.4951,24.55,56.48,233MA下侧极端,-19.8259,-6.7255,44.79,46.41,强趋势下行,-10.441,down,4,放量,2.3159,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,45.64,40,53.33,10,78
JUP-USDT,4H,ok,full_weight,1,233,OKX,2024-01-31 16:00,2026-05-31 00:00,5103,2026-05-31 00:00,0.19,黄,防守等待,74.12,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,等待更清楚的波动或位置共振,波动压缩,2.7044,22.96,0.5787,17.06,-0.4213,余动能不足,53.32,46.68,35.07,1.8201,2.4177,2.6721,2.8564,0.6372,0.8464,中值上侧偏离,1.6349,0.5987,45.27,53.35,233MA下侧极端,-6.4843,-2.5806,49.01,46.87,趋势不明,0.8228,mixed,2,缩量,0.1871,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,74.12,74,42.06,8,0
PYTH-USDT,4H,ok,full_weight,1,233,OKX,2023-11-20 16:00,2026-05-31 00:00,5535,2026-05-31 00:00,0.04,黄偏绿,趋势策略天气,66.42,低波动启动 / 接近正常动能 / 短期上侧偏离 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,低波动启动,3.0547,37.97,1.0881,68.82,0.0881,接近正常动能,48.12,51.88,39.42,2.7362,2.9984,3.0535,3.0504,0.897,0.9829,中值上侧偏离,3.5247,1.092,61.99,54.63,233MA下侧极端,-12.2583,-4.4809,45.21,49.66,强趋势上行,3.0702,up,4,量能正常,1.2508,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,37.03,40,38.67,46,66.42
TIA-USDT,4H,ok,full_weight,1,233,OKX,2023-10-31 16:00,2026-05-31 00:00,5654,2026-05-31 00:00,0.41,黄偏绿,趋势策略天气,66.81,高波动冷却 / 余动能不足 / 短期下侧偏离 / 大周期偏强,趋势天气较友好，等方向和量能确认,高波动冷却,3.6922,53.62,0.4819,7.88,-0.5181,余动能不足,77.17,22.83,34.22,2.4203,3.2626,3.6457,3.8744,0.6247,0.8421,中值下侧偏离,-6.2723,-1.7988,28.24,53.58,233MA上侧偏离,1.4395,0.3814,69.11,62.48,强趋势下行,-4.4678,down,4,缩量,0.5991,短期下侧偏离 + 大周期偏强,优势不够大，不能单独触发策略；不是天然做空区域,42.98,50,56.89,0,66.81
ONDO-USDT,4H,ok,full_weight,1,233,OKX,2024-07-29 08:00,2026-05-31 00:00,4025,2026-05-31 00:00,0.38,黄,防守等待,38.44,高波动扩张 / 动能已超ATR / 短期贴近中轴 / 大周期偏强,等待更清楚的波动或位置共振,高波动扩张,3.8856,75.83,1.8344,94.53,0.8344,动能已超ATR,58.63,41.37,42.84,5.1411,3.9723,3.879,3.9762,1.293,0.999,中值贴近中轴,1.0735,0.2738,41.28,8.11,233MA上侧偏离,8.1817,1.9495,68.73,50.28,趋势不明,-1.0897,mixed,2,放量,3.8064,短期贴近中轴 + 大周期偏强,贴近中轴时继续拉伸概率通常更高；不是天然做空区域,38.44,22,0,38,32.54
FET-USDT,4H,ok,full_weight,1,233,OKX,2023-11-24 08:00,2026-05-31 00:00,5513,2026-05-31 00:00,0.28,绿,趋势策略天气,80,高波动冷却 / 接近正常动能 / 短期上侧偏离 / 大周期强势高位,趋势天气较友好，等方向和量能确认,高波动冷却,4.7729,82.35,0.8324,44.83,-0.1676,接近正常动能,75.6,24.4,39.62,4.7242,5.0121,4.8192,4.4454,1.0627,1.1275,中值上侧偏离,11.6577,2.1859,73.72,51.79,233MA上侧极端,30.1179,4.8461,85.08,41.23,强趋势上行,17.4408,up,4,量能正常,0.8512,短期上侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,15.4,48,42.44,16,80
PEPE-USDT,4H,ok,full_weight,1,233,OKX,2023-05-01 08:00,2026-05-31 00:00,6755,2026-05-31 00:00,0,黄偏红,防守等待,74.12,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.907,1.27,0.7841,42.46,-0.2159,余动能不足,58.43,41.57,35.27,1.4111,1.7302,1.8877,1.9935,0.7079,0.8679,中值贴近中轴,0.51,0.269,46.04,10.98,233MA下侧极端,-10.7243,-6.3695,42.99,51.21,趋势不明,-0.2031,mixed,2,缩量,0.7458,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,74.12,74,0,8,0
SHIB-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.4256,8.96,0.6888,32.7,-0.3112,余动能不足,58.19,41.81,33.44,1.0431,1.3273,1.4163,1.4643,0.7124,0.9064,中值上侧偏离,2.6126,1.7986,65.89,54.02,233MA下侧极端,-8.2482,-6.3507,35.84,50.69,弱趋势上行,1.664,up,3,缩量,0.2785,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,76.28,56,44.47,8,0
BONK-USDT,4H,ok,full_weight,1,233,OKX,2024-01-08 04:00,2026-05-31 00:00,5244,2026-05-31 00:00,0,黄偏红,防守等待,60.28,波动压缩 / 接近正常动能 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.2125,5,0.8637,50.13,-0.1363,接近正常动能,56.29,43.71,38.01,1.6631,2.0456,2.1963,2.282,0.7288,0.8964,中值下侧偏离,-2.1439,-1.0049,32.97,56.63,233MA下侧极端,-13.019,-6.8657,41.01,53.01,弱趋势混合,-2.1057,mixed,2,缩量,0.4174,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,60.28,56,53.87,20,2.63
FLOKI-USDT,4H,ok,full_weight,1,233,OKX,2022-12-16 08:00,2026-05-31 00:00,7570,2026-05-31 00:00,0,绿,突破策略天气,84,低波动启动 / 动能已超ATR / 短期上侧偏离 / 大周期弱势深水区,不把短期下偏当买点，等待更强共振,低波动启动,2.1046,10.01,2.1659,96.1,1.1659,动能已超ATR,48.36,51.64,39.83,2.6418,2.169,2.1092,2.1,1.258,1.0328,中值上侧偏离,4.4622,2.1071,73.67,54.66,233MA下侧极端,-8.543,-4.6078,48.26,51.65,强趋势上行,4.3627,up,3,放量,3.9342,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,34.92,40,38.78,84,74.18
WIF-USDT,4H,ok,full_weight,1,233,OKX,2024-04-15 08:00,2026-05-31 00:00,4655,2026-05-31 00:00,0.19,黄偏红,防守等待,75.08,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.5736,9.08,0.4898,8.07,-0.5102,余动能不足,57.12,42.88,33.98,1.751,2.3845,2.5588,2.6124,0.6703,0.9128,中值上侧偏离,4.3171,1.6224,65.43,51.38,233MA下侧偏离,-2.499,-1.0048,63.4,63.91,弱趋势上行,1.7726,up,3,缩量,0.1621,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,75.08,66,34.97,8,0
ORDI-USDT,4H,ok,full_weight,1,233,OKX,2023-05-20 12:00,2026-05-31 00:00,6639,2026-05-31 00:00,3.43,黄偏红,趋势策略天气,55.28,常态波动 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,常态波动,3.7489,48.72,0.6198,22.74,-0.3802,余动能不足,61.28,38.72,34.59,3.3674,3.5987,3.7352,3.7938,0.8876,0.9486,中值下侧偏离,-7.1786,-2.0569,23.73,54.42,233MA下侧极端,-23.6612,-8.2437,37.83,49.62,强趋势下行,-4.2136,down,3,缩量,0.5585,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,54.37,40,37.91,4,55.28
SATS-USDT,4H,ok,full_weight,1,233,OKX,2023-12-18 08:00,2026-05-31 00:00,5368,2026-05-31 00:00,0,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.8036,19.26,0.4669,8.54,-0.5331,余动能不足,59.47,40.53,32.43,2.1653,2.6124,2.7855,2.8714,0.7541,0.9098,中值下侧偏离,-2.9819,-1.1049,50.27,56.1,233MA下侧极端,-17.399,-7.5721,62.99,50,弱趋势混合,-1.2068,mixed,2,缩量,0.4214,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,76.28,56,51.96,8,0
NOT-USDT,4H,ok,full_weight,1,233,OKX,2024-05-16 16:00,2026-05-31 00:00,4466,2026-05-31 00:00,0,绿,网格震荡天气,84,低波动启动 / 接近正常动能 / 短期上侧偏离 / 大周期偏弱,震荡/网格天气较友好，仍需控制突破风险,低波动启动,2.7418,22.56,0.982,61.95,-0.018,接近正常动能,48.68,51.32,37.87,2.4501,2.5365,2.7134,2.9003,0.8448,0.8746,中值上侧偏离,1.8166,0.6628,73.27,54.93,233MA下侧偏离,-5.7363,-2.2608,73.59,61.94,趋势不明,0.5615,mixed,2,缩量,0.7325,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,44.92,84,47.75,16,11.37
ENA-USDT,4H,ok,full_weight,1,233,OKX,2025-09-17 04:00,2026-05-31 00:00,1536,2026-05-31 00:00,0.09,黄,网格震荡天气,58,低波动启动 / 动能已超ATR / 短期贴近中轴 / 大周期弱势深水区,震荡/网格天气较友好，仍需控制突破风险,低波动启动,2.7539,30.24,1.3556,83.68,0.3556,动能已超ATR,44.19,55.81,40.13,2.3605,2.5384,2.7267,2.8932,0.8159,0.8774,中值贴近中轴,-0.3937,-0.1479,49.05,4.27,233MA下侧极端,-15.5654,-6.8963,50.63,51.35,趋势不明,-0.1391,mixed,2,放量,1.8154,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,48.04,58,0,38,16.83
W-USDT,4H,ok,full_weight,1,233,OKX,2024-04-03 12:00,2026-05-31 00:00,4726,2026-05-31 00:00,0.01,黄偏红,防守等待,74.12,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.6272,12.87,0.6512,25.45,-0.3488,余动能不足,53.49,46.51,35.4,1.8748,2.3859,2.6016,2.7425,0.6836,0.87,中值贴近中轴,-0.0423,-0.0163,48.8,8.99,233MA下侧极端,-10.459,-4.4916,55.35,49.41,趋势不明,-0.525,mixed,2,缩量,0.4393,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,74.12,74,0,8,0
STRK-USDT,4H,ok,full_weight,1,233,OKX,2024-02-20 12:00,2026-05-31 00:00,4984,2026-05-31 00:00,0.04,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.9534,33.12,0.4542,6.02,-0.5458,余动能不足,56.65,43.35,34.56,1.8454,2.5877,2.9129,3.1379,0.5881,0.8246,中值下侧偏离,-1.077,-0.3725,45.59,55.2,233MA下侧极端,-11.221,-4.3243,63.21,49.95,弱趋势混合,-1.6604,mixed,2,缩量,0.1671,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,76.28,56,48.72,8,0
ZK-USDT,4H,ok,full_weight,1,233,OKX,2024-06-18 08:00,2026-05-31 00:00,4270,2026-05-31 00:00,0.01,黄偏红,防守等待,66.28,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,3.0171,31,0.7125,31.44,-0.2875,余动能不足,55.6,44.4,35.25,2.4865,2.9769,3.0204,2.9759,0.8355,1.0003,中值上侧偏离,3.9516,1.2757,58.96,54.32,233MA下侧极端,-10.1322,-3.7836,51.74,50.59,弱趋势混合,4.3827,mixed,2,缩量,0.7269,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,66.28,56,37.55,26,6.3
ZRO-USDT,4H,ok,full_weight,1,233,OKX,2024-06-20 12:00,2026-05-31 00:00,4258,2026-05-31 00:00,1.15,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.7725,20.93,0.5323,12.07,-0.4677,余动能不足,57.16,42.84,35.57,2.1147,2.5645,2.7543,2.8261,0.7483,0.9074,中值下侧偏离,-2.4122,-0.8923,40.65,54.07,233MA下侧极端,-17.2935,-7.5483,32.27,51.16,弱趋势混合,-2.8017,mixed,2,缩量,0.7495,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,76.28,56,44.65,8,0
GALA-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7998,2026-05-31 00:00,0,黄,网格震荡天气,82,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,震荡/网格天气较友好，仍需控制突破风险,波动压缩,2.2451,16.17,0.5874,18.8,-0.4126,余动能不足,55.61,44.39,33,1.4738,2.0081,2.221,2.3453,0.6284,0.8562,中值贴近中轴,-0.1122,-0.0501,47.11,9.44,233MA下侧极端,-8.8324,-4.325,51.77,51.46,趋势不明,-0.6394,mixed,2,量能正常,1.0278,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,73.16,82,0,8,0
SAND-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.07,黄,网格震荡天气,56,低波动启动 / 接近正常动能 / 短期上侧偏离 / 大周期弱势深水区,震荡/网格天气较友好，仍需控制突破风险,低波动启动,1.8947,18.25,0.9419,58.45,-0.0581,接近正常动能,44.85,55.15,38.05,1.4816,1.7815,1.8844,1.9351,0.7656,0.9206,中值上侧偏离,2.4426,1.2724,61.1,53.56,233MA下侧极端,-6.0345,-3.4271,52.7,49.62,弱趋势混合,1.5465,mixed,2,缩量,0.4799,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,48.28,56,42.82,16,17.28
MANA-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.08,黄偏红,网格震荡天气,82,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.6888,10.67,0.6857,30.7,-0.3143,余动能不足,55.45,44.55,34.67,1.2614,1.6023,1.6811,1.7229,0.7322,0.93,中值贴近中轴,0.2192,0.1294,51.85,9.72,233MA下侧极端,-6.9606,-4.4274,49.6,50.71,趋势不明,-0.1705,mixed,2,量能正常,1.0279,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,73.16,82,0,8,0
BTC-USDT,8H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-30 16:00,3999,2026-05-30 16:00,73883.2,黄偏红,防守等待,75.08,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.4001,14.94,0.346,5.06,-0.654,余动能不足,48.38,51.62,43.85,0.9648,1.312,1.3915,1.4373,0.6712,0.9128,中值下侧偏离,-1.8767,-1.3651,27.1,52.01,233MA下侧偏离,-0.8363,-0.602,45.31,66.95,弱趋势下行,-2.1235,down,3,缩量,0.2743,短期下侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,75.08,66,37.24,8,0
ETH-USDT,8H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-30 16:00,3999,2026-05-30 16:00,2022.49,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.8916,16.22,0.3096,1.87,-0.6904,余动能不足,52.71,47.29,40.44,1.2243,1.7433,1.8768,1.9537,0.6266,0.8923,中值下侧偏离,-1.5748,-0.844,34.44,54.2,233MA下侧极端,-8.2518,-4.7444,39.79,48.55,弱趋势下行,-1.9949,down,3,缩量,0.2703,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,76.28,56,45.12,8,0
SOL-USDT,8H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-30 16:00,3999,2026-05-30 16:00,82.73,黄偏红,网格震荡天气,84,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.0852,1.97,0.4233,4.85,-0.5767,余动能不足,54.02,45.98,38.93,1.4026,1.9132,2.0664,2.1657,0.6477,0.8834,中值下侧偏离,-0.9577,-0.4639,41.24,52.54,233MA下侧偏离,-4.0158,-2.0072,64.84,58.74,趋势不明,-1.0311,down,3,缩量,0.4457,短期下侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,72.92,84,39.14,8,0
BNB-USDT,8H,ok,full_weight,1,233,OKX,2022-12-21 00:00,2026-05-30 16:00,3771,2026-05-30 16:00,718.8,绿,趋势策略天气,88,低波动启动 / 动能已超ATR / 短期过热 / 大周期强势高位,趋势天气较友好，等方向和量能确认,低波动启动,2.0173,44.56,2.4547,97.78,1.4547,动能已超ATR,46.6,53.4,40.23,3.523,2.3893,2.0563,1.8461,1.9083,1.2942,中值上侧极端,5.924,2.8686,78.19,91.16,233MA上侧极端,13.3625,6.046,77.53,48.78,强趋势上行,11.0094,up,4,放量,11.0802,短期过热 + 大周期强势高位,强趋势里极端可以延续，必须看波动和量能；强势区可以长期维持在 233MA 上方,14.44,4,84,84,88
XRP-USDT,8H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-30 16:00,3999,2026-05-30 16:00,1.34,黄偏红,网格震荡天气,92,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.9201,7.74,0.7137,35.24,-0.2863,余动能不足,56.01,43.99,36.61,1.6603,1.8748,1.9133,1.9584,0.8478,0.9573,中值上侧偏离,1.6333,0.8359,53.53,57.82,233MA下侧偏离,-3.5212,-1.8984,41.09,62.56,趋势不明,0.6585,down,3,量能正常,0.8617,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,71.96,92,54,8,0
DOGE-USDT,8H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-30 16:00,3999,2026-05-30 16:00,0.1,黄偏绿,网格震荡天气,84,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期偏强,震荡/网格天气较友好，仍需控制突破风险,波动压缩,2.3293,10.15,0.5464,17.8,-0.4536,余动能不足,58.46,41.54,35.5,1.6849,2.1423,2.3047,2.4582,0.6854,0.8715,中值贴近中轴,0.4041,0.1716,44.68,10.01,233MA上侧偏离,1.0699,0.4512,63.82,57.14,趋势不明,-0.6563,down,3,缩量,0.5478,短期贴近中轴 + 大周期偏强,贴近中轴时继续拉伸概率通常更高；不是天然做空区域,52.92,84,8,8,0
ADA-USDT,8H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-30 16:00,3999,2026-05-30 16:00,0.24,黄偏红,防守等待,75.32,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.3456,13.18,0.5769,16.8,-0.4231,余动能不足,53.94,46.06,36.86,1.9325,2.2735,2.3367,2.3959,0.8066,0.9489,中值下侧偏离,-0.8403,-0.3605,41.14,54.96,233MA下侧极端,-6.9909,-3.1977,49.35,51.34,弱趋势下行,-1.7271,down,3,量能正常,0.841,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,75.32,64,47.86,8,0
LINK-USDT,8H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-30 16:00,3999,2026-05-30 16:00,9.19,黄偏红,网格震荡天气,84,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.5221,11.58,0.5385,12.48,-0.4615,余动能不足,51.73,48.27,38.46,1.9862,2.3798,2.5054,2.5943,0.7656,0.9173,中值贴近中轴,-0.3631,-0.1443,43.96,7.4,233MA下侧偏离,-1.4483,-0.582,52.95,66.8,趋势不明,-1.0237,down,3,缩量,0.3075,短期贴近中轴 + 大周期偏弱,贴近中轴时继续拉伸概率通常更高；未到极端，但大天气仍偏弱,72.92,84,0,8,0
AVAX-USDT,8H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-30 16:00,3999,2026-05-30 16:00,8.95,黄偏红,防守等待,75.08,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,波动压缩,2.4604,10.8,0.4806,8.89,-0.5194,余动能不足,52.28,47.72,37.58,1.8667,2.3296,2.4466,2.5192,0.741,0.9248,中值下侧偏离,-1.4759,-0.6075,46.51,53.29,233MA下侧偏离,-4.2554,-1.8024,58.74,66.07,弱趋势下行,-1.9949,down,3,缩量,0.2633,短期下侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,75.08,66,41.84,8,0
TON-USDT,8H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-30 16:00,3999,2026-05-30 16:00,1.82,黄,均值回归天气,53.49,高波动扩张 / 接近正常动能 / 短期下侧偏离 / 大周期强势高位,均值回归可观察，但要服从大周期过滤,高波动扩张,4.8852,87.04,0.891,53.78,-0.109,接近正常动能,59.94,40.06,35.13,3.6741,4.3804,4.8183,5.2481,0.7001,0.8347,中值下侧偏离,-6.5262,-1.4507,31.28,55.97,233MA上侧极端,16.3391,2.9182,67.1,44.59,弱趋势下行,-2.3485,down,3,量能正常,0.8656,短期下侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,46.58,18,53.49,0,32.09
